"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;FOUND_IN;HITTA_OR_ENIRO;DATE
http://gulasidorna.eniro.se/f/barnav%C3%A5rdscentral-aleris-h%C3%A4lsocentral-voxnadalen:49890602;Aleris Voxnadalens Hälsocentral;Barnavårdscentral Aleris Hälsocentral Voxnadalen;Långg 59;82230;Alfta;0271-55500;www.aleris.se;Vardcentraler;ENIRO;20151117
http://www.hitta.se//alfta+din+h%C3%A4lsocentral/alfta/xM_XmGkAAK?vad=Alfta+H%C3%A4lsocentral%2CStationsgatan+3;Alfta Hälsocentral;Alfta Din Hälsocentral;Stationsgatan 3;82230;Alfta;0271-19600,026-154000;http://www.lg.se/dinhalsocentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//noltorp+v%C3%A5rdcentral+medpro+clinic/alings%C3%A5s/VTj5nHqkJA?vad=S%C3%A4terigatan+122%2C+Alings%C3%A5s;Carema Vårdcentral Noltorp;Noltorp Vårdcentral Medpro Clinic;Säterigatan 122;44155;Alingsås;0322-651500;http://www.medpro.eu/#!noltorp-vardcentral/cqe2;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=S%C3%A4vel%C3%A5ngen+Familjel%C3%A4kare+och+BVC%2CIngaredsgatan+70;Sävelången Familjeläkare och BVC;Sävelången Familjeläkare och BVC;Ingaredsgatan 70;44165;Alingsås;0322-229800,0322-229819;http://www.savelangenfamiljelakare.se;Vardcentraler;HITTA;20151117
http://www.hitta.se//v%C3%A5rdcentralen+centrum/laholm/yhhLTZsww5?vad=V%C3%A5rdcentralen+Centrum;Vårdcentralen Centrum;Vårdcentralen Centrum;Hasselgränd;31231;Laholm;0430-15700;http://www.regionhalland.se/vccentrum;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+S%C3%B6rhaga%2CS%C3%B6dra+Ringgatan+34+B;Vårdcentralen Sörhaga;Närhälsan Sörhaga vårdcentral;Södra Ringgatan 34 B;44133;Alingsås;0322-226550;http://www.narhalsan.se/sorhagavardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=%C3%84ngabo+v%C3%A5rdcentral%2CSundsbergsv%C3%A4gen+7;Ängabo vårdcentral;Närhälsan Ängabo vårdcentral;Sundsbergsvägen 7;44150;Alingsås;010-4359210,1177,0322-226200;http://www.narhalsan.se/angabovardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Aln%C3%B6+V%C3%A5rdcentral%2CRaholmsv%C3%A4gen+24;Alnö Vårdcentral;Alnö Vårdcentral;Raholmsvägen 24;86531;Alnö;060-7404800,060-7404891,060-181070,060-7404861,060-7404843,060-7404840;http://www.alnovardcentral.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=H%C3%A4lsocentralen+Falken%2CDoktorsv%C3%A4gen+3;Hälsocentralen Falken;Vårdcentralen Hälsocentralen Falken;Doktorsvägen 3;36075;Alstermo;0481-366930;http://www.hcfalken.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Alunda+v%C3%A5rdcentral%2CParkv%C3%A4gen+8;Alunda vårdcentral;Alunda Vårdcentral;Parkvägen 8;74730;Alunda;018-6110310;http://www.lul.se/alunda;Vardcentraler;HITTA;20151117
http://www.hitta.se//alvesta+v%C3%A5rdcentral/alvesta/0LzTZ_wXX4?vad=V%C3%A5rdcentralen+Alvesta%2CCentralgatan+9+D;Vårdcentralen Alvesta;Alvesta Vårdcentral, växel;Centralgatan 9 D;34230;Alvesta;0472-389200,0470-587800;http://www.ltkronoberg.se/Centrum/Primrehabcent/Vardcentraler/Vardcentralen-Alvesta;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Andersl%C3%B6v%2CSjukhemsv%C3%A4gen+11;Vårdcentralen Anderslöv;Vårdcentralen Anderslöv;Sjukhemsvägen 11;23170;Anderslöv;0410-359770;http://www.skane.se/webbplatser/primarvarden_skane/vardcentraler/vara-vardcentraler/orter-a-l/vardcentralen-anderslov;Vardcentraler;HITTA;20151117
http://www.hitta.se//anderstorps+v%C3%A5rdcentral/anderstorp/yxSM24vOOU?vad=Anderstorps+v%C3%A5rdcentral%2CStorgatan+25;Anderstorps vårdcentral;Anderstorps vårdcentral;Storgatan 25;33433;Anderstorp;0371-584315;http://www.lj.se/anderstorpsvardcentral;Vardcentraler;HITTA;20151117
http://www.hitta.se//familjel%C3%A4karna+v%C3%A5rdcentral/link%C3%B6ping/ihSTZss_Cw?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna Vårdcentral, växel;Ågatan 29;58222;Linköping;013-242100,013-242101,013-242102,013-242103;;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Aneby+v%C3%A5rdcentral%2CStorgatan+29;Aneby vårdcentral;Aneby vårdcentral;Storgatan 29;57831;Aneby;0380-552700;http://www.anebyvardcentral.se;Vardcentraler;HITTA;20151117
http://www.hitta.se/s%C3%B6k?vad=Angereds+L%C3%A4karhus%2CKultivatorgatan+3;Angereds Läkarhus;Angereds Läkarhus;Kultivatorgatan 3;42465;Angered;031-7221180;http://www.blhg.se/vardcentraler/angered;Vardcentraler;HITTA;20151117
